avgSpeedCars,flux,density,totalCars,time,queue,deadCars
0.0,0.0,0.0,0,1,0,0
0.0,0.0,0.0,0,2,0,0
0.0,0.0,0.0,0,3,0,0
0.0,0.0,0.0,0,4,0,0
5.0,0.57,0.11,1,5,0,0
5.0,0.57,0.11,1,6,0,0
5.0,1.14,0.23,2,7,0,0
5.0,1.14,0.23,2,8,0,0
4.67,1.59,0.34,3,9,0,0
4.67,1.59,0.34,3,10,0,0
5.0,1.7,0.34,3,11,0,0
4.67,1.59,0.34,3,12,0,0
5.0,2.27,0.45,4,13,0,0
4.75,2.16,0.45,4,14,0,0
4.6,2.61,0.57,5,15,0,0
4.17,2.84,0.68,6,16,0,0
4.43,3.52,0.8,7,17,0,0
4.29,3.41,0.8,7,18,0,0
4.0,3.18,0.8,7,19,0,0
4.38,3.98,0.91,8,20,0,0
4.12,3.75,0.91,8,21,0,0
4.0,4.09,1.02,9,22,0,0
4.11,4.2,1.02,9,23,0,0
4.4,5.0,1.14,10,24,0,0
4.45,5.57,1.25,11,25,0,0
4.5,6.14,1.36,12,26,0,0
4.46,6.59,1.48,13,27,0,0
4.21,6.7,1.59,14,28,0,0
4.47,7.61,1.7,15,29,0,0
4.38,7.95,1.82,16,30,0,0
4.44,8.07,1.82,16,31,0,0
4.31,7.84,1.82,16,32,0,0
3.94,7.16,1.82,16,33,0,0
3.81,6.93,1.82,16,34,0,0
3.82,7.39,1.93,17,35,0,0
3.72,7.61,2.05,18,36,0,0
3.11,6.36,2.05,18,37,0,0
2.94,6.02,2.05,18,38,0,0
2.83,5.8,2.05,18,39,0,0
2.79,6.02,2.16,19,40,0,0
3.11,6.7,2.16,19,41,0,0
3.11,6.7,2.16,19,42,0,0
3.26,7.05,2.16,19,43,0,0
3.58,7.73,2.16,19,44,0,0
3.68,7.95,2.16,19,45,0,0
4.0,9.09,2.27,20,46,0,0
4.0,9.55,2.39,21,47,0,0
4.18,10.45,2.5,22,48,0,0
4.0,10.45,2.61,23,49,0,0
4.04,11.02,2.73,24,50,0,0
4.28,12.16,2.84,25,51,0,0
4.36,12.39,2.84,25,52,0,0
4.38,12.95,2.95,26,53,0,0
4.12,12.16,2.95,26,54,0,0
3.81,11.7,3.07,27,55,0,0
3.44,10.57,3.07,27,56,0,0
3.21,10.23,3.18,28,57,0,0
2.81,8.64,3.07,27,58,0,1
2.76,7.84,2.84,25,59,0,3
2.23,6.59,2.95,26,60,0,3
2.27,6.7,2.95,26,61,0,3
2.12,6.25,2.95,26,62,0,3
2.41,7.39,3.07,27,63,0,3
2.89,9.2,3.18,28,64,0,3
2.86,9.09,3.18,28,65,0,3
3.14,10.0,3.18,28,66,0,3
3.41,11.25,3.3,29,67,0,3
3.67,12.5,3.41,30,68,0,3
3.94,13.86,3.52,31,69,0,3
3.91,14.2,3.64,32,70,0,3
3.91,14.66,3.75,33,71,0,3
4.12,15.91,3.86,34,72,0,3
4.09,16.25,3.98,35,73,0,3
4.0,15.91,3.98,35,74,0,3
3.89,15.91,4.09,36,75,0,3
3.53,14.43,4.09,36,76,0,3
3.22,13.52,4.2,37,77,0,3
3.43,14.43,4.2,37,78,0,3
3.26,12.95,3.98,35,79,0,5
2.97,11.48,3.86,34,80,0,6
3.26,12.95,3.98,35,81,0,6
3.26,12.61,3.86,34,82,0,8
3.21,12.39,3.86,34,83,0,9
3.33,12.5,3.75,33,84,0,10
3.61,13.52,3.75,33,85,0,10
3.73,12.73,3.41,30,86,0,13
3.76,12.39,3.3,29,87,0,14
4.07,13.86,3.41,30,88,0,14
4.17,13.75,3.3,29,89,0,15
4.1,13.98,3.41,30,90,0,15
4.1,13.98,3.41,30,91,0,15
3.93,13.41,3.41,30,92,0,15
3.87,13.18,3.41,30,93,0,15
3.87,13.18,3.41,30,94,0,15
3.73,12.73,3.41,30,95,0,15
3.65,12.84,3.52,31,96,0,15
3.1,10.91,3.52,31,97,0,16
2.77,9.77,3.52,31,98,0,16
2.7,9.2,3.41,30,99,0,17
2.11,6.7,3.18,28,100,0,19
2.11,6.48,3.07,27,101,0,20
2.23,6.59,2.95,26,102,0,21
2.5,7.39,2.95,26,103,0,22
2.84,8.07,2.84,25,104,0,23
3.31,9.77,2.95,26,105,0,23
3.69,10.91,2.95,26,106,0,23
3.93,12.05,3.07,27,107,0,23
4.07,12.5,3.07,27,108,0,23
4.37,13.41,3.07,27,109,0,23
4.22,12.95,3.07,27,110,0,23
4.04,12.39,3.07,27,111,0,23
3.93,12.05,3.07,27,112,0,23
4.07,12.95,3.18,28,113,0,23
3.76,12.39,3.3,29,114,0,23
3.67,12.5,3.41,30,115,0,23
3.58,12.61,3.52,31,116,0,23
3.32,11.7,3.52,31,117,0,23
3.13,11.02,3.52,31,118,0,24
3.03,10.34,3.41,30,119,0,26
3.1,10.91,3.52,31,120,0,26
3.23,11.02,3.41,30,121,0,28
3.52,12.39,3.52,31,122,0,28
3.82,12.16,3.18,28,123,0,31
3.96,11.25,2.84,25,124,0,34
4.32,12.27,2.84,25,125,0,34
4.28,12.16,2.84,25,126,0,35
4.19,12.39,2.95,26,127,0,35
4.23,12.5,2.95,26,128,0,35
3.96,12.16,3.07,27,129,0,35
3.81,11.7,3.07,27,130,0,35
3.75,11.93,3.18,28,131,0,35
3.93,12.95,3.3,29,132,0,35
3.97,13.07,3.3,29,133,0,35
3.97,13.07,3.3,29,134,0,35
3.69,12.16,3.3,29,135,0,35
3.33,11.36,3.41,30,136,0,35
3.07,10.45,3.41,30,137,0,35
3.07,10.45,3.41,30,138,0,35
2.52,8.3,3.3,29,139,0,36
2.42,7.16,2.95,26,140,0,40
2.77,8.18,2.95,26,141,0,41
2.79,7.61,2.73,24,142,0,43
3.17,8.64,2.73,24,143,0,43
3.39,8.86,2.61,23,144,0,44
3.75,10.23,2.73,24,145,0,44
4.04,11.48,2.84,25,146,0,44
4.36,12.39,2.84,25,147,0,44
4.28,12.16,2.84,25,148,0,44
4.28,12.16,2.84,25,149,0,44
4.04,11.93,2.95,26,150,0,44
4.3,13.18,3.07,27,151,0,44
4.04,12.39,3.07,27,152,0,44
3.93,12.05,3.07,27,153,0,44
3.86,12.27,3.18,28,154,0,44
3.32,10.57,3.18,28,155,0,44
2.93,9.32,3.18,28,156,0,44
2.72,8.98,3.3,29,157,0,44
2.8,9.55,3.41,30,158,0,44
2.45,8.64,3.52,31,159,0,44
