avgSpeedCars,flux,time,density,totalCars,queue,deadCars
5.0,1.98,1,0.4,2,0,0
4.5,1.79,2,0.4,2,0,0
4.75,3.77,3,0.79,4,0,0
4.5,3.57,4,0.79,4,0,0
4.5,3.57,5,0.79,4,0,0
5.0,3.97,6,0.79,4,0,0
4.83,5.75,7,1.19,6,0,0
4.5,5.36,8,1.19,6,0,0
5.0,6.94,9,1.39,7,0,0
4.44,7.94,10,1.79,9,0,0
4.67,8.33,11,1.79,9,0,0
4.4,8.73,12,1.98,10,0,0
4.75,11.31,13,2.38,12,0,0
4.58,10.91,14,2.38,12,0,0
4.5,10.71,15,2.38,12,0,0
4.43,12.3,16,2.78,14,0,0
4.44,14.09,17,3.17,16,0,0
4.5,14.29,18,3.17,16,0,0
4.29,14.48,19,3.37,17,0,0
4.53,15.28,20,3.37,17,0,0
4.76,16.07,21,3.37,17,0,0
4.67,16.67,22,3.57,18,0,0
4.58,17.26,23,3.77,19,0,0
4.57,19.05,24,4.17,21,0,0
4.32,18.85,25,4.37,22,0,0
4.52,20.63,26,4.56,23,0,0
4.56,22.62,27,4.96,25,0,0
4.44,22.02,28,4.96,25,0,0
4.62,23.81,29,5.16,26,0,0
4.54,23.41,30,5.16,26,0,0
4.73,24.4,31,5.16,26,0,0
4.73,24.4,32,5.16,26,0,0
4.56,24.4,33,5.36,27,0,0
4.62,26.59,34,5.75,29,0,0
4.45,25.6,35,5.75,29,0,1
4.6,27.38,36,5.95,30,0,2
4.29,26.39,37,6.15,31,0,2
4.48,27.58,38,6.15,31,0,3
4.19,26.59,39,6.35,32,0,4
4.39,28.77,40,6.55,33,0,4
4.36,28.57,41,6.55,33,0,4
4.28,27.18,42,6.35,32,0,5
4.12,26.19,43,6.35,32,0,6
4.22,26.79,44,6.35,32,0,6
4.3,25.6,45,5.95,30,0,8
4.29,26.39,46,6.15,31,0,9
4.27,25.4,47,5.95,30,0,10
4.52,25.99,48,5.75,29,0,11
4.47,26.59,49,5.95,30,0,11
4.0,23.81,50,5.95,30,0,12
4.17,24.01,51,5.75,29,0,13
3.97,22.82,52,5.75,29,0,15
3.87,23.81,53,6.15,31,0,15
3.66,23.21,54,6.35,32,0,16
3.47,23.41,55,6.75,34,0,16
3.59,22.82,56,6.35,32,0,18
3.33,21.83,57,6.55,33,0,18
3.7,24.21,58,6.55,33,0,18
3.79,24.8,59,6.55,33,0,19
3.64,23.81,60,6.55,33,0,20
3.48,21.43,61,6.15,31,0,22
3.48,21.43,62,6.15,31,1,23
3.29,20.24,63,6.15,31,0,24
3.2,19.05,64,5.95,30,0,25
3.16,19.44,65,6.15,31,0,26
3.09,20.24,66,6.55,33,0,26
3.09,20.24,67,6.55,33,0,26
3.03,19.84,68,6.55,33,0,27
2.94,19.25,69,6.55,33,0,27
2.97,20.63,70,6.94,35,0,27
2.82,18.45,71,6.55,33,0,30
2.6,18.06,72,6.94,35,0,30
2.57,17.86,73,6.94,35,0,31
2.37,16.47,74,6.94,35,0,32
2.37,16.47,75,6.94,35,0,32
2.43,16.87,76,6.94,35,0,32
2.46,17.06,77,6.94,35,0,32
2.35,15.87,78,6.75,34,0,33
2.43,16.87,79,6.94,35,0,34
2.59,19.05,80,7.34,37,0,34
2.63,19.84,81,7.54,38,0,34
2.55,19.25,82,7.54,38,0,34
2.65,21.03,83,7.94,40,0,34
2.71,22.62,84,8.33,42,0,34
2.6,22.22,85,8.53,43,0,35
2.36,20.63,86,8.73,44,0,36
2.31,20.63,87,8.93,45,0,36
2.2,19.25,88,8.73,44,1,37
2.3,19.64,89,8.53,43,3,38
2.22,19.84,90,8.93,45,1,38
2.18,19.44,91,8.93,45,2,38
2.13,19.05,92,8.93,45,2,39
2.17,19.84,93,9.13,46,1,39
2.13,19.44,94,9.13,46,3,39
2.26,21.03,95,9.33,47,4,39
2.23,21.23,96,9.52,48,4,39
2.15,20.44,97,9.52,48,4,40
2.1,20.44,98,9.72,49,3,40
2.15,20.44,99,9.52,48,5,41
1.98,19.25,100,9.72,49,3,42
2.14,20.83,101,9.72,49,5,42
2.2,21.83,102,9.92,50,6,42
2.08,20.63,103,9.92,50,7,43
2.08,20.63,104,9.92,50,6,44
2.02,19.64,105,9.72,49,6,45
2.12,20.63,106,9.72,49,8,45
2.18,21.23,107,9.72,49,9,46
2.0,19.44,108,9.72,49,9,47
2.14,21.23,109,9.92,50,10,47
2.14,21.63,110,10.12,51,11,47
2.16,21.43,111,9.92,50,13,48
2.12,21.43,112,10.12,51,12,49
2.2,22.22,113,10.12,51,13,49
2.12,21.83,114,10.32,52,11,50
2.2,22.22,115,10.12,51,13,51
2.1,21.63,116,10.32,52,11,52
2.19,22.62,117,10.32,52,11,52
2.06,21.63,118,10.52,53,9,53
2.17,22.42,119,10.32,52,10,54
2.07,22.22,120,10.71,54,10,54
2.19,23.02,121,10.52,53,12,55
2.06,22.02,122,10.71,54,11,56
2.11,22.62,123,10.71,54,13,56
2.2,24.4,124,11.11,56,12,56
2.2,24.01,125,10.91,55,14,57
2.32,25.79,126,11.11,56,13,57
2.25,25.0,127,11.11,56,13,58
2.14,23.81,128,11.11,56,14,59
2.14,23.81,129,11.11,56,13,60
2.11,23.02,130,10.91,55,14,62
2.11,23.02,131,10.91,55,14,63
2.16,24.01,132,11.11,56,14,63
2.16,24.4,133,11.31,57,13,63
2.07,23.41,134,11.31,57,13,64
2.12,23.61,135,11.11,56,14,65
