queue,totalCars,deadCars,flux,density,avgSpeedCars,time
1,4,0,2.5,0.53,4.75,1
4,8,0,4.34,1.05,4.12,2
5,12,0,5.53,1.58,3.5,3
4,16,0,6.45,2.11,3.06,4
7,18,0,7.76,2.37,3.28,5
12,20,0,8.16,2.63,3.1,6
19,21,0,9.47,2.76,3.43,7
22,22,0,9.87,2.89,3.41,8
29,24,0,11.45,3.16,3.62,9
28,26,0,12.24,3.42,3.58,10
32,27,0,12.37,3.55,3.48,11
34,29,0,12.76,3.82,3.34,12
33,31,0,12.76,4.08,3.13,13
32,33,0,14.87,4.34,3.42,14
40,35,0,15.39,4.61,3.34,15
41,36,0,16.32,4.74,3.44,16
49,38,0,16.58,5.0,3.32,17
56,40,0,16.97,5.26,3.23,18
65,41,0,17.63,5.39,3.27,19
68,44,0,19.08,5.79,3.3,20
67,45,0,19.08,5.92,3.22,21
72,47,0,20.66,6.18,3.34,22
75,48,0,21.97,6.32,3.48,23
74,51,0,21.97,6.71,3.27,24
83,51,0,23.82,6.71,3.55,25
81,55,0,24.08,7.24,3.33,26
91,55,0,24.21,7.24,3.35,27
98,58,0,25.66,7.63,3.36,28
104,59,0,27.76,7.76,3.58,29
105,62,0,28.42,8.16,3.48,30
109,64,0,29.08,8.42,3.45,31
113,67,0,31.84,8.82,3.61,32
122,68,0,33.16,8.95,3.71,33
127,71,0,33.55,9.34,3.59,34
125,73,0,34.34,9.61,3.58,35
127,74,0,34.34,9.74,3.53,36
134,77,0,36.45,10.13,3.6,37
144,77,0,36.05,10.13,3.56,38
142,80,0,36.71,10.53,3.49,39
141,80,1,37.24,10.53,3.54,40
146,81,3,37.5,10.66,3.52,41
154,80,5,36.84,10.53,3.5,42
153,81,6,36.84,10.66,3.46,43
156,82,6,37.5,10.79,3.48,44
155,83,8,36.97,10.92,3.39,45
164,82,10,36.32,10.79,3.37,46
167,84,11,38.16,11.05,3.45,47
174,84,11,38.95,11.05,3.52,48
181,85,13,38.55,11.18,3.45,49
183,86,13,40.0,11.32,3.53,50
187,83,16,38.55,10.92,3.53,51
194,85,17,39.08,11.18,3.49,52
196,86,17,38.42,11.32,3.4,53
202,85,19,38.95,11.18,3.48,54
199,86,21,36.45,11.32,3.22,55
203,86,22,36.84,11.32,3.26,56
204,87,22,37.37,11.45,3.26,57
208,89,23,37.63,11.71,3.21,58
210,88,25,37.5,11.58,3.24,59
217,87,27,37.24,11.45,3.25,60
224,87,28,37.24,11.45,3.25,61
229,87,30,38.29,11.45,3.34,62
231,88,31,38.68,11.58,3.34,63
237,87,33,38.55,11.45,3.37,64
238,88,34,38.42,11.58,3.32,65
241,88,36,38.03,11.58,3.28,66
246,87,38,38.68,11.45,3.38,67
245,86,40,38.03,11.32,3.36,68
252,87,41,38.55,11.45,3.37,69
250,87,44,39.21,11.45,3.43,70
253,89,44,40.26,11.71,3.44,71
258,92,45,41.32,12.11,3.41,72
260,89,48,39.61,11.71,3.38,73
259,91,49,40.53,11.97,3.38,74
268,91,50,41.84,11.97,3.49,75
265,92,52,39.34,12.11,3.25,76
267,93,53,41.58,12.24,3.4,77
269,93,55,40.39,12.24,3.3,78
275,93,57,40.0,12.24,3.27,79
275,92,58,42.24,12.11,3.49,80
277,93,60,40.79,12.24,3.33,81
278,92,62,39.34,12.11,3.25,82
286,94,62,40.53,12.37,3.28,83
287,95,63,41.18,12.5,3.29,84
288,95,66,39.21,12.5,3.14,85
291,95,67,39.87,12.5,3.19,86
298,94,70,39.34,12.37,3.18,87
303,96,70,38.95,12.63,3.08,88
308,97,71,39.08,12.76,3.06,89
306,98,72,40.79,12.89,3.16,90
310,98,74,40.39,12.89,3.13,91
309,100,74,41.05,13.16,3.12,92
317,99,77,40.39,13.03,3.1,93
318,99,78,40.53,13.03,3.11,94
316,99,80,38.16,13.03,2.93,95
321,101,80,38.03,13.29,2.86,96
326,101,82,36.71,13.29,2.76,97
332,101,84,37.37,13.29,2.81,98
333,100,86,36.97,13.16,2.81,99
337,101,87,39.08,13.29,2.94,100
337,101,89,39.21,13.29,2.95,101
345,101,91,37.63,13.29,2.83,102
348,102,91,39.21,13.42,2.92,103
353,101,93,38.03,13.29,2.86,104
356,100,95,38.68,13.16,2.94,105
358,100,97,39.47,13.16,3.0,106
367,98,100,39.08,12.89,3.03,107
368,100,100,39.87,13.16,3.03,108
374,102,101,38.95,13.42,2.9,109
381,103,102,38.68,13.55,2.85,110
382,105,102,41.32,13.82,2.99,111
382,104,105,40.53,13.68,2.96,112
385,104,106,39.74,13.68,2.9,113
391,106,107,40.53,13.95,2.91,114
398,104,109,40.13,13.68,2.93,115
397,106,109,40.66,13.95,2.92,116
405,105,111,40.79,13.82,2.95,117
408,105,113,38.68,13.82,2.8,118
415,106,114,39.08,13.95,2.8,119
415,105,116,37.76,13.82,2.73,120
420,108,116,39.34,14.21,2.77,121
426,106,118,38.82,13.95,2.78,122
428,110,118,39.47,14.47,2.73,123
429,106,122,36.58,13.95,2.62,124
428,109,123,36.45,14.34,2.54,125
429,107,125,35.53,14.08,2.52,126
434,105,127,33.95,13.82,2.46,127
440,105,129,33.95,13.82,2.46,128
446,105,131,32.89,13.82,2.38,129
455,106,131,34.47,13.95,2.47,130
455,109,131,36.05,14.34,2.51,131
463,110,131,38.42,14.47,2.65,132
462,111,133,38.95,14.61,2.67,133
463,112,134,40.26,14.74,2.73,134
464,112,136,38.95,14.74,2.64,135
470,114,136,40.0,15.0,2.67,136
477,114,138,38.68,15.0,2.58,137
479,114,139,38.68,15.0,2.58,138
484,114,141,37.89,15.0,2.53,139
491,114,142,37.63,15.0,2.51,140
495,112,145,37.37,14.74,2.54,141
493,113,146,38.68,14.87,2.6,142
500,113,147,37.11,14.87,2.5,143
504,115,148,38.29,15.13,2.53,144
506,114,150,39.08,15.0,2.61,145
511,114,152,38.55,15.0,2.57,146
516,115,153,38.29,15.13,2.53,147
520,113,156,37.37,14.87,2.51,148
521,115,157,37.11,15.13,2.45,149
529,115,158,37.5,15.13,2.48,150
536,116,160,37.63,15.26,2.47,151
543,116,161,37.89,15.26,2.48,152
549,117,162,38.55,15.39,2.5,153
554,117,164,38.03,15.39,2.47,154
561,115,167,36.58,15.13,2.42,155
563,114,169,36.18,15.0,2.41,156
563,115,169,36.71,15.13,2.43,157
567,115,172,35.0,15.13,2.31,158
573,115,173,33.82,15.13,2.23,159
576,114,175,34.34,15.0,2.29,160
577,116,176,35.26,15.26,2.31,161
583,115,178,34.87,15.13,2.3,162
584,116,180,34.21,15.26,2.24,163
586,115,181,34.74,15.13,2.3,164
592,115,183,35.13,15.13,2.32,165
594,116,184,34.74,15.26,2.28,166
601,115,186,35.13,15.13,2.32,167
608,115,187,33.68,15.13,2.23,168
610,116,189,33.82,15.26,2.22,169
613,116,190,33.55,15.26,2.2,170
620,116,192,35.53,15.26,2.33,171
626,116,193,33.82,15.26,2.22,172
628,117,194,34.34,15.39,2.23,173
636,118,194,34.08,15.53,2.19,174
642,117,197,33.42,15.39,2.17,175
646,119,197,32.11,15.66,2.05,176
650,119,198,31.71,15.66,2.03,177
653,118,200,31.58,15.53,2.03,178
654,119,201,34.34,15.66,2.19,179
659,120,201,37.63,15.79,2.38,180
666,119,202,38.16,15.66,2.44,181
671,120,204,38.03,15.79,2.41,182
679,118,206,37.5,15.53,2.42,183
681,121,206,38.03,15.92,2.39,184
691,120,207,36.97,15.79,2.34,185
695,121,208,38.82,15.92,2.44,186
694,120,211,37.5,15.79,2.38,187
701,122,211,38.42,16.05,2.39,188
702,121,214,37.37,15.92,2.35,189
708,120,216,38.42,15.79,2.43,190
707,122,217,40.26,16.05,2.51,191
712,121,219,40.66,15.92,2.55,192
714,122,221,40.92,16.05,2.55,193
721,121,222,42.11,15.92,2.64,194
721,120,224,40.39,15.79,2.56,195
721,120,226,41.71,15.79,2.64,196
722,122,226,42.76,16.05,2.66,197
722,121,229,41.71,15.92,2.62,198
723,120,231,40.0,15.79,2.53,199
725,118,233,40.26,15.53,2.59,200
724,118,234,39.74,15.53,2.56,201
723,118,237,38.68,15.53,2.49,202
725,116,239,37.76,15.26,2.47,203
726,115,240,38.55,15.13,2.55,204
725,116,242,38.55,15.26,2.53,205
727,115,244,38.16,15.13,2.52,206
732,116,246,36.18,15.26,2.37,207
732,114,248,37.11,15.0,2.47,208
738,116,249,38.68,15.26,2.53,209
744,114,252,39.34,15.0,2.62,210
748,115,254,38.29,15.13,2.53,211
748,115,254,39.08,15.13,2.58,212
753,117,256,39.87,15.39,2.59,213
758,116,257,40.79,15.26,2.67,214
764,115,259,40.39,15.13,2.67,215
761,116,261,36.45,15.26,2.39,216
761,116,263,35.0,15.26,2.29,217
761,116,263,35.26,15.26,2.31,218
769,113,266,36.45,14.87,2.45,219
770,116,266,37.24,15.26,2.44,220
772,115,268,38.68,15.13,2.56,221
769,118,268,38.42,15.53,2.47,222
770,116,270,37.63,15.26,2.47,223
775,118,271,37.63,15.53,2.42,224
775,117,273,37.5,15.39,2.44,225
781,121,273,35.79,15.92,2.25,226
783,119,276,35.0,15.66,2.24,227
788,119,277,36.18,15.66,2.31,228
795,121,277,37.37,15.92,2.35,229
804,120,279,37.76,15.79,2.39,230
805,119,281,36.58,15.66,2.34,231
808,120,282,36.18,15.79,2.29,232
813,120,283,36.84,15.79,2.33,233
817,119,285,36.05,15.66,2.3,234
823,120,287,36.84,15.79,2.33,235
827,118,290,36.71,15.53,2.36,236
824,121,290,38.03,15.92,2.39,237
832,119,292,36.97,15.66,2.36,238
839,117,294,35.79,15.39,2.32,239
