density,totalCars,flux,deadCars,time,queue,avgSpeedCars
0.5,1,2.5,0,1,0,5.0
1.0,2,4.0,0,2,0,4.0
1.0,2,4.0,0,3,0,4.0
1.0,2,4.0,0,4,0,4.0
1.0,2,4.5,0,5,0,4.5
1.5,3,7.0,0,6,0,4.67
2.0,4,9.5,0,7,0,4.75
2.0,4,9.5,0,8,0,4.75
2.5,5,11.5,0,9,0,4.6
2.5,5,11.0,0,10,0,4.4
3.0,6,13.0,0,11,0,4.33
3.0,6,14.0,0,12,0,4.67
3.5,7,16.5,0,13,0,4.71
3.5,7,15.0,0,14,0,4.29
4.0,8,17.5,0,15,0,4.38
4.0,8,17.5,0,16,0,4.38
4.0,8,18.5,0,17,0,4.62
4.0,8,18.5,0,18,0,4.62
4.5,9,20.0,0,19,0,4.44
4.5,9,21.0,0,20,0,4.67
4.5,9,20.0,1,21,0,4.44
5.0,10,22.0,1,22,0,4.4
5.5,11,24.0,1,23,0,4.36
5.5,11,25.0,2,24,0,4.55
5.5,11,26.0,2,25,0,4.73
6.0,12,25.0,2,26,0,4.17
6.0,12,27.5,2,27,0,4.58
5.0,10,22.0,4,28,0,4.4
5.5,11,25.0,4,29,0,4.55
6.0,12,27.5,4,30,0,4.58
6.0,12,27.5,5,31,0,4.58
5.5,11,26.0,6,32,0,4.73
6.0,12,27.0,6,33,0,4.5
6.5,13,29.0,6,34,0,4.46
6.0,12,27.0,7,35,0,4.5
6.5,13,28.5,7,36,0,4.38
6.5,13,29.0,8,37,0,4.46
6.5,13,30.5,8,38,0,4.69
7.0,14,32.0,8,39,0,4.57
7.0,14,32.0,8,40,0,4.57
7.0,14,31.5,9,41,0,4.5
6.5,13,30.0,10,42,0,4.62
7.0,14,31.5,10,43,0,4.5
6.0,12,27.5,12,44,0,4.58
5.5,11,25.0,13,45,0,4.55
5.5,11,24.5,13,46,0,4.45
5.5,11,25.0,14,47,0,4.55
6.0,12,28.5,14,48,0,4.75
6.0,12,27.5,14,49,0,4.58
5.5,11,25.0,15,50,0,4.55
6.0,12,25.5,15,51,0,4.25
5.5,11,25.0,17,52,0,4.55
6.0,12,26.5,17,53,0,4.42
6.0,12,28.0,17,54,0,4.67
5.0,10,22.5,19,55,0,4.5
5.5,11,26.0,19,56,0,4.73
6.0,12,28.5,19,57,0,4.75
5.5,11,25.5,21,58,0,4.64
5.5,11,24.0,21,59,0,4.36
5.5,11,25.0,21,60,0,4.55
5.5,11,26.0,22,61,0,4.73
5.5,11,26.5,22,62,0,4.82
5.5,11,26.5,23,63,0,4.82
5.0,10,22.5,24,64,0,4.5
5.0,10,22.5,24,65,0,4.5
5.0,10,23.5,24,66,0,4.7
5.0,10,23.0,24,67,0,4.6
5.0,10,23.5,24,68,0,4.7
4.5,9,20.5,26,69,0,4.56
4.5,9,21.5,26,70,0,4.78
4.5,9,20.5,26,71,0,4.56
4.5,9,19.5,27,72,0,4.33
4.0,8,18.5,28,73,0,4.62
3.5,7,17.0,29,74,0,4.86
3.5,7,17.0,29,75,0,4.86
3.5,7,16.0,29,76,0,4.57
3.0,6,14.0,30,77,0,4.67
3.0,6,13.0,31,78,0,4.33
3.0,6,13.0,32,79,0,4.33
3.5,7,16.5,32,80,0,4.71
4.0,8,18.5,32,81,0,4.62
3.5,7,15.5,33,82,0,4.43
4.0,8,19.0,33,83,0,4.75
4.0,8,19.5,34,84,0,4.88
4.0,8,18.5,34,85,0,4.62
4.5,9,20.0,34,86,0,4.44
4.5,9,19.0,34,87,0,4.22
5.0,10,23.0,34,88,0,4.6
5.5,11,25.0,34,89,0,4.55
5.5,11,25.0,35,90,0,4.55
5.5,11,25.0,35,91,0,4.55
5.5,11,26.5,35,92,0,4.82
5.5,11,26.0,36,93,0,4.73
6.0,12,28.0,36,94,0,4.67
6.0,12,25.5,36,95,0,4.25
6.0,12,25.5,36,96,0,4.25
6.0,12,26.5,36,97,0,4.42
6.0,12,28.5,36,98,0,4.75
5.5,11,25.0,37,99,0,4.55
5.0,10,23.0,38,100,0,4.6
5.0,10,22.5,39,101,0,4.5
5.5,11,24.0,39,102,0,4.36
5.5,11,25.5,40,103,0,4.64
5.0,10,21.5,41,104,0,4.3
5.0,10,24.0,42,105,0,4.8
5.5,11,24.0,42,106,0,4.36
6.0,12,27.5,42,107,0,4.58
6.0,12,27.5,43,108,0,4.58
6.0,12,29.0,43,109,0,4.83
6.0,12,26.5,44,110,0,4.42
5.0,10,23.5,46,111,0,4.7
5.0,10,23.0,46,112,0,4.6
5.0,10,23.5,46,113,0,4.7
4.5,9,19.0,47,114,0,4.22
4.5,9,22.0,48,115,0,4.89
4.5,9,21.0,48,116,0,4.67
5.0,10,23.5,48,117,0,4.7
5.0,10,23.5,48,118,0,4.7
5.5,11,25.5,48,119,0,4.64
